kind,label,angle_deg,det_rotation,pca_sign_parity,pca_signs,pca_basis_offdiag,d2_shape,sliced_wasserstein,sliced_wasserstein_sign_spread,occupancy_dice,occupancy_resolution,scale_log_ratio
random_so3,random_35,,1.0,-1,---,1.7719265936080112e-15,0.0012572376974890925,0.03846190335398333,0.03911966728071888,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_36,,1.0,1,--+,1.3895711763212201e-15,0.0012572376974890765,2.913229743160481e-16,0.08091466581294988,1.0,1.9142807884020079,0.0
random_so3,random_37,,0.9999999999999996,-1,-++,1.042425679393453e-15,0.001257237697489095,2.5624381992719415e-16,0.08091466581294988,1.0,1.9142807884020079,-2.2204460492503136e-16
random_so3,random_38,,1.0000000000000002,-1,-++,9.839812330659742e-16,0.00125723769748908,2.4159895230608267e-16,0.08091466581294991,1.0,1.9142807884020079,0.0
random_so3,random_39,,1.0000000000000002,1,-+-,1.482699385351988e-15,0.0012572376974890808,0.03846190335398334,0.039119667280718855,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_40,,1.0000000000000002,1,+++,1.8565903667610866e-16,0.0012572376974890804,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,2.2204460492503128e-16
random_so3,random_41,,1.0000000000000002,-1,-++,3.9931836127369077e-16,0.0012572376974890772,5.831212335007049e-16,0.08091466581294955,1.0,1.9142807884020079,2.2204460492503128e-16
random_so3,random_42,,0.9999999999999996,-1,---,1.4478009422856805e-15,0.0012572376974891166,4.26364342052607e-16,0.0809146658129497,1.0,1.9142807884020079,-3.33066907387547e-16
random_so3,random_43,,1.0,-1,+-+,1.2453886706448296e-15,0.0012572376974890871,0.038461903353983355,0.039119667280718855,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_44,,1.0,1,--+,4.959333907176129e-16,0.0012572376974890834,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_45,,0.9999999999999997,-1,-++,5.821136413873786e-16,0.001257237697489102,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_46,,0.9999999999999994,-1,---,8.648000822264325e-16,0.0012572376974890808,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,-2.2204460492503136e-16
random_so3,random_47,,0.9999999999999999,-1,-++,3.011088445279513e-15,0.0012572376974890934,0.038461903353983334,0.03911966728071886,0.6274509803921569,1.9142807884020079,0.0
random_so3,random_48,,0.9999999999999998,-1,-++,2.255668980338958e-15,0.0012572376974890756,4.946485490993068e-16,0.08091466581294963,1.0,1.9142807884020079,0.0
random_so3,random_49,,1.0000000000000002,-1,---,1.3058679074004545e-15,0.0012572376974890873,0.03846190335398334,0.039119667280718855,0.6274509803921569,1.9142807884020079,0.0
